latitude:6.26917383;longitude:-75.5657592;altitude:1512.1016845703125;accuracy:37.52000045776367;vertical_accuracy:48.0;bearing:237.39999389648438;speed:1.2999999523162842;elapsedMs:9;provider:gps;(2020, 12, 13, 15, 3)
latitude:6.2692302;longitude:-75.5656802;altitude:1511.5831298828125;accuracy:28.944000244140625;vertical_accuracy:24.0;bearing:64.4000015258789;speed:1.5800000429153442;elapsedMs:18;provider:gps;(2020, 12, 13, 15, 3)
latitude:6.26923933;longitude:-75.56562057;altitude:1499.4591064453125;accuracy:19.296001434326172;vertical_accuracy:24.0;bearing:112.0;speed:3.5899999141693115;elapsedMs:5;provider:gps;(2020, 12, 13, 15, 3)
latitude:6.26910245;longitude:-75.56558469;altitude:1502.8277587890625;accuracy:9.648000717163086;vertical_accuracy:12.0;bearing:167.3000030517578;speed:4.28000020980835;elapsedMs:6;provider:gps;(2020, 12, 13, 15, 3)
latitude:6.26897008;longitude:-75.56561064;altitude:1497.7933349609375;accuracy:9.648000717163086;vertical_accuracy:12.0;bearing:181.8000030517578;speed:5.659999847412109;elapsedMs:8;provider:gps;(2020, 12, 13, 15, 3)
latitude:6.26878386;longitude:-75.56559814;altitude:1494.5323486328125;accuracy:5.360000133514404;vertical_accuracy:12.0;bearing:190.0;speed:7.03000020980835;elapsedMs:9;provider:gps;(2020, 12, 13, 15, 3)
latitude:6.26868724;longitude:-75.56561549;altitude:1494.3997802734375;accuracy:4.288000106811523;vertical_accuracy:8.0;bearing:189.6999969482422;speed:7.380000114440918;elapsedMs:9;provider:gps;(2020, 12, 13, 15, 3)
latitude:6.26857785;longitude:-75.56564863;altitude:1491.4932861328125;accuracy:4.288000106811523;vertical_accuracy:8.0;bearing:192.0;speed:7.53000020980835;elapsedMs:20;provider:gps;(2020, 12, 13, 15, 3)
latitude:6.26841113;longitude:-75.56562747;altitude:1493.31494140625;accuracy:4.288000106811523;vertical_accuracy:8.0;bearing:186.89999389648438;speed:7.730000019073486;elapsedMs:6;provider:gps;(2020, 12, 13, 15, 3)
latitude:6.2682932;longitude:-75.56564514;altitude:1490.2152099609375;accuracy:5.360000133514404;vertical_accuracy:8.0;bearing:187.8000030517578;speed:7.650000095367432;elapsedMs:8;provider:gps;(2020, 12, 13, 15, 4)
latitude:6.26816101;longitude:-75.56565024;altitude:1491.0194091796875;accuracy:4.288000106811523;vertical_accuracy:8.0;bearing:191.10000610351562;speed:8.119999885559082;elapsedMs:10;provider:gps;(2020, 12, 13, 15, 4)
latitude:6.26801848;longitude:-75.56567364;altitude:1491.3538818359375;accuracy:4.288000106811523;vertical_accuracy:8.0;bearing:191.5;speed:7.920000076293945;elapsedMs:17;provider:gps;(2020, 12, 13, 15, 4)
latitude:6.26787535;longitude:-75.56569674;altitude:1490.619140625;accuracy:4.288000106811523;vertical_accuracy:6.0;bearing:192.10000610351562;speed:7.849999904632568;elapsedMs:24;provider:gps;(2020, 12, 13, 15, 4)
latitude:6.26773611;longitude:-75.56573591;altitude:1490.8663330078125;accuracy:4.288000106811523;vertical_accuracy:8.0;bearing:192.39999389648438;speed:7.53000020980835;elapsedMs:9;provider:gps;(2020, 12, 13, 15, 4)
latitude:6.26760089;longitude:-75.56576322;altitude:1492.1561279296875;accuracy:5.360000133514404;vertical_accuracy:8.0;bearing:195.10000610351562;speed:7.010000228881836;elapsedMs:6;provider:gps;(2020, 12, 13, 15, 4)
latitude:6.26745847;longitude:-75.56582331;altitude:1495.0780029296875;accuracy:5.360000133514404;vertical_accuracy:8.0;bearing:191.10000610351562;speed:7.25;elapsedMs:9;provider:gps;(2020, 12, 13, 15, 4)
latitude:6.26735614;longitude:-75.56584661;altitude:1494.3961181640625;accuracy:6.432000160217285;vertical_accuracy:8.0;bearing:189.1999969482422;speed:6.889999866485596;elapsedMs:30;provider:gps;(2020, 12, 13, 15, 4)
