latitude:6.17287709;longitude:-75.33639549;altitude:2094.313720703125;accuracy:9.648000717163086;vertical_accuracy:24.0;bearing:176.3000030517578;speed:0.6499999761581421;elapsedMs:3;provider:gps;(2021, 5, 18, 13, 1)
latitude:6.1728304;longitude:-75.33644037;altitude:2093.184326171875;accuracy:15.008000373840332;vertical_accuracy:24.0;bearing:273.0;speed:0.6100000143051147;elapsedMs:12;provider:gps;(2021, 5, 18, 13, 1)
latitude:6.17278967;longitude:-75.33632041;altitude:2082.917236328125;accuracy:10.720000267028809;vertical_accuracy:16.0;bearing:183.39999389648438;speed:0.4699999988079071;elapsedMs:14;provider:gps;(2021, 5, 18, 13, 1)
latitude:6.17277436;longitude:-75.3363616;altitude:2085.348388671875;accuracy:8.576000213623047;vertical_accuracy:12.0;bearing:204.5;speed:0.1899999976158142;elapsedMs:8;provider:gps;(2021, 5, 18, 13, 1)
latitude:6.17279699;longitude:-75.33634242;altitude:2106.947998046875;accuracy:8.576000213623047;vertical_accuracy:12.0;bearing:148.10000610351562;speed:0.6899999976158142;elapsedMs:10;provider:gps;(2021, 5, 18, 13, 1)
latitude:6.17277839;longitude:-75.33633603;altitude:2111.370361328125;accuracy:7.504000186920166;vertical_accuracy:12.0;bearing:114.5;speed:0.6899999976158142;elapsedMs:4;provider:gps;(2021, 5, 18, 13, 1)
latitude:6.17275161;longitude:-75.33629497;altitude:2109.381103515625;accuracy:7.504000186920166;vertical_accuracy:12.0;bearing:161.6999969482422;speed:1.590000033378601;elapsedMs:4;provider:gps;(2021, 5, 18, 13, 1)
latitude:6.17273414;longitude:-75.33628528;altitude:2107.8720703125;accuracy:6.432000160217285;vertical_accuracy:12.0;bearing:172.6999969482422;speed:1.0499999523162842;elapsedMs:6;provider:gps;(2021, 5, 18, 13, 1)
latitude:6.17270994;longitude:-75.33628206;altitude:2104.47998046875;accuracy:4.288000106811523;vertical_accuracy:8.0;bearing:162.10000610351562;speed:1.1399999856948853;elapsedMs:8;provider:gps;(2021, 5, 18, 13, 1)
latitude:6.17268064;longitude:-75.33627883;altitude:2099.632080078125;accuracy:4.288000106811523;vertical_accuracy:8.0;bearing:145.60000610351562;speed:0.9300000071525574;elapsedMs:12;provider:gps;(2021, 5, 18, 13, 1)
latitude:6.17265653;longitude:-75.33627638;altitude:2101.361083984375;accuracy:4.288000106811523;vertical_accuracy:6.0;bearing:149.8000030517578;speed:1.2100000381469727;elapsedMs:8;provider:gps;(2021, 5, 18, 13, 1)
latitude:6.17263597;longitude:-75.33626855;altitude:2101.833984375;accuracy:4.288000106811523;vertical_accuracy:6.0;bearing:145.5;speed:1.0399999618530273;elapsedMs:14;provider:gps;(2021, 5, 18, 13, 2)
latitude:6.17261463;longitude:-75.33626002;altitude:2100.147216796875;accuracy:5.360000133514404;vertical_accuracy:8.0;bearing:150.0;speed:1.6299999952316284;elapsedMs:13;provider:gps;(2021, 5, 18, 13, 2)
latitude:6.17259018;longitude:-75.33624811;altitude:2100.402587890625;accuracy:5.360000133514404;vertical_accuracy:8.0;bearing:154.39999389648438;speed:1.1200000047683716;elapsedMs:11;provider:gps;(2021, 5, 18, 13, 2)
latitude:6.17256946;longitude:-75.33622927;altitude:2097.545166015625;accuracy:5.360000133514404;vertical_accuracy:8.0;bearing:159.39999389648438;speed:1.7300000190734863;elapsedMs:9;provider:gps;(2021, 5, 18, 13, 2)
latitude:6.17254566;longitude:-75.33619775;altitude:2095.75048828125;accuracy:5.360000133514404;vertical_accuracy:8.0;bearing:146.8000030517578;speed:1.25;elapsedMs:6;provider:gps;(2021, 5, 18, 13, 2)
latitude:6.17253278;longitude:-75.33616989;altitude:2095.208251953125;accuracy:5.360000133514404;vertical_accuracy:8.0;bearing:142.1999969482422;speed:1.2200000286102295;elapsedMs:8;provider:gps;(2021, 5, 18, 13, 2)
latitude:6.17252415;longitude:-75.3361411;altitude:2093.7216796875;accuracy:4.288000106811523;vertical_accuracy:8.0;bearing:140.10000610351562;speed:0.6700000166893005;elapsedMs:10;provider:gps;(2021, 5, 18, 13, 2)
latitude:6.17251947;longitude:-75.33612342;altitude:2097.678466796875;accuracy:4.288000106811523;vertical_accuracy:8.0;bearing:138.1999969482422;speed:1.1100000143051147;elapsedMs:5;provider:gps;(2021, 5, 18, 13, 2)
latitude:6.17250983;longitude:-75.33611486;altitude:2097.03955078125;accuracy:4.288000106811523;vertical_accuracy:8.0;bearing:157.0;speed:1.1699999570846558;elapsedMs:9;provider:gps;(2021, 5, 18, 13, 2)
latitude:6.17249856;longitude:-75.3361171;altitude:2099.3447265625;accuracy:4.288000106811523;vertical_accuracy:6.0;bearing:182.5;speed:1.2799999713897705;elapsedMs:2;provider:gps;(2021, 5, 18, 13, 2)
latitude:6.17248004;longitude:-75.33612995;altitude:2101.047119140625;accuracy:4.288000106811523;vertical_accuracy:8.0;bearing:199.0;speed:1.7200000286102295;elapsedMs:9;provider:gps;(2021, 5, 18, 13, 2)
latitude:6.172452;longitude:-75.33615654;altitude:2101.462890625;accuracy:4.288000106811523;vertical_accuracy:8.0;bearing:219.5;speed:1.4299999475479126;elapsedMs:8;provider:gps;(2021, 5, 18, 13, 2)
latitude:6.17242643;longitude:-75.33618756;altitude:2103.052734375;accuracy:4.288000106811523;vertical_accuracy:8.0;bearing:227.8000030517578;speed:1.3899999856948853;elapsedMs:14;provider:gps;(2021, 5, 18, 13, 2)
latitude:6.17240099;longitude:-75.33622093;altitude:2102.77783203125;accuracy:4.288000106811523;vertical_accuracy:8.0;bearing:231.1999969482422;speed:1.8700000047683716;elapsedMs:13;provider:gps;(2021, 5, 18, 13, 2)
latitude:6.17237271;longitude:-75.33625398;altitude:2103.67919921875;accuracy:4.288000106811523;vertical_accuracy:6.0;bearing:232.3000030517578;speed:1.9800000190734863;elapsedMs:8;provider:gps;(2021, 5, 18, 13, 2)
latitude:6.17234867;longitude:-75.33628091;altitude:2102.5185546875;accuracy:4.288000106811523;vertical_accuracy:6.0;bearing:232.10000610351562;speed:1.7000000476837158;elapsedMs:10;provider:gps;(2021, 5, 18, 13, 2)
latitude:6.17232717;longitude:-75.33630198;altitude:2102.5888671875;accuracy:3.2160000801086426;vertical_accuracy:6.0;bearing:229.39999389648438;speed:1.7899999618530273;elapsedMs:11;provider:gps;(2021, 5, 18, 13, 2)
latitude:6.17230853;longitude:-75.336322;altitude:2101.958740234375;accuracy:3.2160000801086426;vertical_accuracy:6.0;bearing:231.5;speed:1.2100000381469727;elapsedMs:7;provider:gps;(2021, 5, 18, 13, 2)
latitude:6.17229621;longitude:-75.33633414;altitude:2100.5859375;accuracy:4.288000106811523;vertical_accuracy:6.0;bearing:226.89999389648438;speed:1.440000057220459;elapsedMs:5;provider:gps;(2021, 5, 18, 13, 2)
latitude:6.17228543;longitude:-75.33634702;altitude:2100.865234375;accuracy:4.288000106811523;vertical_accuracy:6.0;bearing:230.39999389648438;speed:0.8399999737739563;elapsedMs:8;provider:gps;(2021, 5, 18, 13, 2)
latitude:6.17227733;longitude:-75.33635849;altitude:2101.00732421875;accuracy:4.288000106811523;vertical_accuracy:6.0;bearing:228.60000610351562;speed:1.2200000286102295;elapsedMs:9;provider:gps;(2021, 5, 18, 13, 2)
latitude:6.17225731;longitude:-75.33637774;altitude:2099.9638671875;accuracy:4.288000106811523;vertical_accuracy:6.0;bearing:221.5;speed:1.75;elapsedMs:20;provider:gps;(2021, 5, 18, 13, 2)
latitude:6.17224719;longitude:-75.33641567;altitude:2102.997314453125;accuracy:5.360000133514404;vertical_accuracy:6.0;bearing:222.8000030517578;speed:1.5499999523162842;elapsedMs:10;provider:gps;(2021, 5, 18, 13, 2)
latitude:6.17224122;longitude:-75.33645656;altitude:2102.724365234375;accuracy:5.360000133514404;vertical_accuracy:8.0;bearing:231.5;speed:2.200000047683716;elapsedMs:16;provider:gps;(2021, 5, 18, 13, 2)
latitude:6.17221319;longitude:-75.3364946;altitude:2105.065185546875;accuracy:5.360000133514404;vertical_accuracy:8.0;bearing:227.8000030517578;speed:2.430000066757202;elapsedMs:10;provider:gps;(2021, 5, 18, 13, 2)
latitude:6.17217906;longitude:-75.33651913;altitude:2110.7666015625;accuracy:5.360000133514404;vertical_accuracy:8.0;bearing:227.5;speed:1.3300000429153442;elapsedMs:8;provider:gps;(2021, 5, 18, 13, 2)
